DNA_kit	Method	n	n_sample	n_species	spearman_rho	spearman_p	pearson_r	pearson_p	lm_R2	lm_slope	RMSE_between_qPCR_NGS	MAE_between_qPCR_NGS	mean_abs_difference_pct_point	mean_abs_relative_deviation_pct
QIAamp	ITSx_PE	40	4	10	0.8231155316527389	7.083934431254976e-11	0.7683627120129172	7.105508479815998e-9	0.5903812572118451	0.528861509580702	0.08969185251430462	0.052488649610664344	5.248864961066435	91.88305031713978
DNeasy	ITSx_PE	40	4	10	0.7714688789352461	5.663203137859818e-9	0.7158157279591519	2.0793461462243178e-7	0.5123921563936906	0.5379716869504055	0.08863408822797697	0.06263581283669079	6.263581283669079	111.55153322795023
Zymo	ITSx_PE	40	4	10	0.7252768001595029	1.1986891610502217e-7	0.6380417328139636	9.470914152067862e-6	0.40709725281224535	0.7984711894650655	0.07746980608497976	0.05636769634621875	5.636769634621875	63.566407377217544
QIAamp	ITSx_SE	40	4	10	0.8219897752839409	7.90824542237965e-11	0.768684173952085	6.941738806421054e-9	0.5908753592843993	0.5287129163634644	0.0896525058288991	0.0524757525141273	5.24757525141273	91.94534250060114
DNeasy	ITSx_SE	40	4	10	0.7708763505964392	5.915290842971766e-9	0.7159901694882369	2.058744765598119e-7	0.5126419228037941	0.5380022811073348	0.08860941304462946	0.06260310377072355	6.260310377072355	111.15345979232224
Zymo	ITSx_SE	40	4	10	0.7252768001595029	1.1986891610502217e-7	0.6385565765955867	9.266728069594411e-6	0.4077545015134753	0.7985964352677072	0.07737845465755233	0.05632244167284973	5.632244167284973	63.429888867491776
QIAamp	Cutadapt_PE	40	4	10	0.819175384361946	1.0378830722070259e-10	0.7613554871466701	1.1706140277846857e-8	0.5796621778083433	0.5309551134886171	0.09059293470416946	0.05245177758757202	5.245177758757202	93.00976367037669
DNeasy	Cutadapt_PE	40	4	10	0.7695918257018269	6.498117291002079e-9	0.7103605088397337	2.828622764140179e-7	0.5046120525190454	0.5412733244476641	0.08946117984180889	0.06229814348485862	6.229814348485862	113.51999253765035
Zymo	Cutadapt_PE	40	4	10	0.7295928069909825	9.253431563299756e-8	0.624474483108699	1.658562287026885e-5	0.38996838005387674	0.7943511214310586	0.07983963580868418	0.057477406450562034	5.747740645056203	64.09857825239811
QIAamp	Cutadapt_SE	40	4	10	0.8238660358986041	6.579870145073016e-11	0.767694009731663	7.45777871314764e-9	0.589354092577879	0.5321281917463616	0.08971052007023364	0.05248553842233433	5.2485538422334335	91.66278881157115
DNeasy	Cutadapt_SE	40	4	10	0.7718146129511088	5.520775693415265e-9	0.719839051366348	1.6495892309337424e-7	0.5181682598720037	0.5452423697850113	0.08812148314795397	0.06179235537609584	6.179235537609585	111.57315050525716
Zymo	Cutadapt_SE	40	4	10	0.7297804594619164	9.148872846509794e-8	0.6391947325636912	9.019235723011553e-6	0.4085699061371688	0.8047754938314876	0.07772855856174891	0.05640555776343943	5.640555776343943	63.522700362739364
